Amount,Stage,CloseDate,RecurringDonationInstallmentPeriod,RecurringDonationInstallmentAmount,RecurringDonationLastDonationDate,NSFID,FirstGiftDate,LastGiftDate,LastGiftAmount,Region,BillingState,
$18.00,Closed Won,9/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,11/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,12/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,2/28/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,1/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,11/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,12/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,9/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,10/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,8/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,7/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,6/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,5/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,4/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,3/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,1/30/2020,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$20.00,Closed Won,9/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,8/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,7/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,6/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,2/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,4/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,3/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,5/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$50.00,Closed Won,1/16/2020,Monthly,$50.00,1/16/2020,NSF-44594,11/16/2019,4/16/2020,$50.00,North East,NJ,
$50.00,Closed Won,12/16/2019,Monthly,$50.00,1/16/2020,NSF-44594,11/16/2019,4/16/2020,$50.00,North East,NJ,
$50.00,Closed Won,11/16/2019,Monthly,$50.00,1/16/2020,NSF-44594,11/16/2019,4/16/2020,$50.00,North East,NJ,
$30.00,Closed Won,7/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/11/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,11/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,10/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,9/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,7/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2014,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,7/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,10/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,9/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,11/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/11/2017,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,11/13/2017,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,10/10/2017,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,9/18/2017,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,7/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,11/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,10/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,9/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,11/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,10/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,9/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,7/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2018,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2019,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2020,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2020,Monthly,$30.00,2/10/2020,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$100.00,Closed Won,12/8/2019,Monthly,$100.00,2/8/2020,NSF-55257,12/1/2013,3/8/2021,$100.00,South West,CA,
$100.00,Closed Won,11/8/2019,Monthly,$100.00,2/8/2020,NSF-55257,12/1/2013,3/8/2021,$100.00,South West,CA,
$100.00,Closed Won,10/8/2019,Monthly,$100.00,2/8/2020,NSF-55257,12/1/2013,3/8/2021,$100.00,South West,CA,
$100.00,Closed Won,1/8/2020,Monthly,$100.00,2/8/2020,NSF-55257,12/1/2013,3/8/2021,$100.00,South West,CA,
$100.00,Closed Won,2/8/2020,Monthly,$100.00,2/8/2020,NSF-55257,12/1/2013,3/8/2021,$100.00,South West,CA,
$20.00,Closed Won,4/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,3/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,5/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,6/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,8/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,7/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,11/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,12/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,10/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,9/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,2/7/2019,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,2/7/2020,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$20.00,Closed Won,1/7/2020,Monthly,$20.00,2/7/2020,NSF-37194,2/1/2017,3/5/2021,$20.00,South East,GA,
$30.00,Closed Won,6/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,8/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,7/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,9/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
